"Tidstämpel","Total poäng","Hur gammal är du?","Hur gammal är du? [Poäng]","Hur gammal är du? [Feedback]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder?","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Poäng]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Feedback]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete.","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Poäng]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Feedback]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning.","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Poäng]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Feedback]","1. Är bilden AI-genererad?","1. Är bilden AI-genererad? [Poäng]","1. Är bilden AI-genererad? [Feedback]","1. Varför tror du att den är AI-genererad/riktig?","1. Varför tror du att den är AI-genererad/riktig? [Poäng]","1. Varför tror du att den är AI-genererad/riktig? [Feedback]","2. Är bilden AI-genererad?","2. Är bilden AI-genererad? [Poäng]","2. Är bilden AI-genererad? [Feedback]","2. Varför tror du att den är AI-genererad/riktig?","2. Varför tror du att den är AI-genererad/riktig? [Poäng]","2. Varför tror du att den är AI-genererad/riktig? [Feedback]","3. Är bilden AI-genererad?","3. Är bilden AI-genererad? [Poäng]","3. Är bilden AI-genererad? [Feedback]","3. Varför tror du att den är AI-genererad/riktig?","3. Varför tror du att den är AI-genererad/riktig? [Poäng]","3. Varför tror du att den är AI-genererad/riktig? [Feedback]","4. Är bilden AI-genererad?","4. Är bilden AI-genererad? [Poäng]","4. Är bilden AI-genererad? [Feedback]","4. Varför tror du att den är AI-genererad/riktig?","4. Varför tror du att den är AI-genererad/riktig? [Poäng]","4. Varför tror du att den är AI-genererad/riktig? [Feedback]","5. Är bilden AI-genererad?","5. Är bilden AI-genererad? [Poäng]","5. Är bilden AI-genererad? [Feedback]","5. Varför tror du att den är AI-genererad/riktig?","5. Varför tror du att den är AI-genererad/riktig? [Poäng]","5. Varför tror du att den är AI-genererad/riktig? [Feedback]","6. Är bilden AI-genererad?","6. Är bilden AI-genererad? [Poäng]","6. Är bilden AI-genererad? [Feedback]","6. Varför tror du att den är AI-genererad/riktig?","6. Varför tror du att den är AI-genererad/riktig? [Poäng]","6. Varför tror du att den är AI-genererad/riktig? [Feedback]","7. Är bilden AI-genererad?","7. Är bilden AI-genererad? [Poäng]","7. Är bilden AI-genererad? [Feedback]","7. Varför tror du att den är AI-genererad/riktig?","7. Varför tror du att den är AI-genererad/riktig? [Poäng]","7. Varför tror du att den är AI-genererad/riktig? [Feedback]","8. Är bilden AI-genererad?","8. Är bilden AI-genererad? [Poäng]","8. Är bilden AI-genererad? [Feedback]","8. Varför tror du att den är AI-genererad/riktig?","8. Varför tror du att den är AI-genererad/riktig? [Poäng]","8. Varför tror du att den är AI-genererad/riktig? [Feedback]","9. Är bilden AI-genererad?","9. Är bilden AI-genererad? [Poäng]","9. Är bilden AI-genererad? [Feedback]","9. Varför tror du att den är AI-genererad/riktig?","9. Varför tror du att den är AI-genererad/riktig? [Poäng]","9. Varför tror du att den är AI-genererad/riktig? [Feedback]","10. Är bilden AI-genererad?","10. Är bilden AI-genererad? [Poäng]","10. Är bilden AI-genererad? [Feedback]","10. Varför tror du att den är AI-genererad/riktig?","10. Varför tror du att den är AI-genererad/riktig? [Poäng]","10. Varför tror du att den är AI-genererad/riktig? [Feedback]","11. Är bilden AI-genererad?","11. Är bilden AI-genererad? [Poäng]","11. Är bilden AI-genererad? [Feedback]","11. Varför tror du att den är AI-genererad/riktig?","11. Varför tror du att den är AI-genererad/riktig? [Poäng]","11. Varför tror du att den är AI-genererad/riktig? [Feedback]","12. Är bilden AI-genererad?","12. Är bilden AI-genererad? [Poäng]","12. Är bilden AI-genererad? [Feedback]","12. Varför tror du att den är AI-genererad/riktig?","12. Varför tror du att den är AI-genererad/riktig? [Poäng]","12. Varför tror du att den är AI-genererad/riktig? [Feedback]","13. Är bilden AI-genererad?","13. Är bilden AI-genererad? [Poäng]","13. Är bilden AI-genererad? [Feedback]","13. Varför tror du att den är AI-genererad/riktig?","13. Varför tror du att den är AI-genererad/riktig? [Poäng]","13. Varför tror du att den är AI-genererad/riktig? [Feedback]","14. Är bilden AI-genererad?","14. Är bilden AI-genererad? [Poäng]","14. Är bilden AI-genererad? [Feedback]","14. Varför tror du att den är AI-genererad/riktig?","14. Varför tror du att den är AI-genererad/riktig? [Poäng]","14. Varför tror du att den är AI-genererad/riktig? [Feedback]","15. Är bilden AI-genererad?","15. Är bilden AI-genererad? [Poäng]","15. Är bilden AI-genererad? [Feedback]","15. Varför tror du att den är AI-genererad/riktig?","15. Varför tror du att den är AI-genererad/riktig? [Poäng]","15. Varför tror du att den är AI-genererad/riktig? [Feedback]","Kommentar/Fråga (frivillig)","Kommentar/Fråga (frivillig) [Poäng]","Kommentar/Fråga (frivillig) [Feedback]"
"2024/03/15 8:56:28 em EET","14.00 / 15","27","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","För att den har lite ""plastig"" vibe","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Den ser ut som en bild jag tagit själv","-- / 0","","Ja","1.00 / 1","","Pälsen ser inte helt riktig ut","-- / 0","","Nej","1.00 / 1","","Jag ser inget som känns off ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Det känns lite för specifikt typ att han har något i fickan och så","-- / 0","","Ja","1.00 / 1","","Den känns bara lite konstig i texturerna","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Blomman ser lite onaturlig ut","-- / 0","","Ja","0.00 / 1","","Hunden ser lite inklippt ut","-- / 0","","Det var svårt :(","-- / 0",""
"2024/03/15 9:07:31 em EET","12.00 / 15","29","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Håret på kvinnan och mannens fingrar","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Fokusen känns fel","-- / 0","","Ja","1.00 / 1","","Mossan","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Vinklarna på fingrarna känns onaturlig i förhållande till varandra","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 1:11:09 em EET","15.00 / 15","23","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Den ser ju väldigt retuscherad ut och hon ser ju ut att sakna sin hand. Hans ringfinger runt koppen är också lite konstigt böjt.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","manen på katten är tydligt tecknad","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Simpson ass finger","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 2:10:52 em EET","12.00 / 15","23","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Vid närmare inspektion ser man att hårets hårstrån inte är problematiska, vilket brukar vara ett problem i AI-bilder, exempelvis att de inte sitter ihop eller är ""ologiska"". Ett annat riskområde brukar vara händer och fötter, men dessa finns inte i bilden vilket gör det svårare att fastställa om det är AI eller inte. Slutsats: Det är troligtvis inte en AI-bild.","-- / 0","","Ja","1.00 / 1","","Ser ut som ett klassiskt ""Stock-photo"", men det som verkligen sticker ut för AI-bilder är att de är halvsuddiga samtidigt som de är ""för perfekta/generiska"" i vissa aspekter som ansikten. En av mannens fingrar är väldigt krokig och imperfekt, samtidigt som kaffekopparna ser digitalt renderade ut. AI-bilder har problem med att generera bra händer med rätt antal fingrar, vilket bordet i förgrunden även kan hjälpa till att dölja.","-- / 0","","Nej","1.00 / 1","","Den här är 50/50, jag vet att AI-bilder brukar bli bra så länge det inte krävs raka linjer och exempelvis händer och fötter. Ankan ser nästan ""för bra"" ut för att vara verklig, men jag ser inga defekter i hårstrånas riktningar/formfaktor.  ","-- / 0","","Nej","1.00 / 1","","Ser inga defekter i form av exempelvis grenar och grässtrån, bilden är inte klassiskt AI-suddig, bilden är av lite lägre kvalitet (exempelvis från mobilkamera). Visserligen ett foto som kan anses vara generiskt, men troligtvis snarare en amatörfotograf än AI. (Noterbart är att in-zoomande av bilden hjälper i dessa fall för att avgöra defekter).","-- / 0","","Ja","1.00 / 1","","Ett riktigt ""cookie-cutter""-exempel när det gäller AI-bilder. Extremt suddig bakgrund, tydlig förgrund, hårstrån är väldigt imperfekta samt halvsuddiga, ""generisk pose"". Pälsen är väldigt krokig, vilket kan tyda på AI-defekter då katten inte ser smutsig ut.","-- / 0","","Ja","0.00 / 1","","Denna är vid första blick riktigt svår, ser AI-typiskt ut, men finns smuts/rost på exempelvis toppen av den lilla ljuslyktan till höger vilket jag inte tror skulle ha funnits i de flesta AI-bilder. Samtidigt saknar blombuketten en stam (För att det ser fint ut? Det är vatten i vasen vilket tyder på att den har en ""hålla blommorna vid liv-funktion"", därmed borde det finnas stammar för blommorna.) Det finns många linjer som är krokiga likt en dålig photoshop av kändisar/modeller, bland annat den svarta vertikala kanten av väggen till höger, samt lyktorna till höger.  Slutsats: AI-bild, annars är den manipulerad av exempelvis photoshop.","-- / 0","","Nej","1.00 / 1","","Bilden har för små och många detaljer för att AI-bilder skulle klara sig felfritt, detta är en bild tagen av en naturfotograf (med en väldigt bra kamera).","-- / 0","","Ja","1.00 / 1","","Klassisk AI-bild, generisk skog, generisk bäck, mossa är svår att få defekter på vid generering. Krokiga träd är mer acceptabla i en bild på en skog då det är ""naturligt"", jämfört med exempelvis en hand med krokiga fingrar (låg sannolikhet att det är en produkt av exempelvis klämskada).","-- / 0","","Nej","1.00 / 1","","Ser inga defekta hårstrån från AI-generation, detta är troligtvis en bild tagen av en naturfotograf.","-- / 0","","Nej","1.00 / 1","","Klassisk ""räkna fingrar-bild"", fingrarna kan ha döljts pga defekter, men troligtvis inte. Den enda problematiken är att veta ifall höger sida av ljuskällan som finns i övre höger hörn har en imperfekt ram pga AI-manipulering eller dålig produktkvalitet i verkligheten.","-- / 0","","Nej","0.00 / 1","","Troligtvis bild tagen av naturfotograf. (Visserligen väldigt generisk bild).","-- / 0","","Nej","1.00 / 1","","Troligtvis inte AI-genererad, skidspåret ser inledningsvis ut som en defekt, men vid närmare inspektion beror det snarare på höjdskillnad på marken, vilket gör så att spåret försvinner ur bilden för att återuppstå. Jag tror inte att AI-bilder har förmågan ännu att replikera logiken för sådana höjdskillnader. ","-- / 0","","Nej","1.00 / 1","","Rimliga skuggor, inga ologiska AI-defekter på grenar, fingrar delvis dolda (men troligtvis inte för att dölja möjliga defekter).","-- / 0","","Ja","1.00 / 1","","Troligtvis AI-genererad, handen ser rimlig ut men halvdold (AI-varning). I brist på botanikkunskaper ser blommans formfaktor i förgrunden rimlig ut. Formfaktorn på de blommor i bakgrunden på vänster sida ser dock väldigt skumma ut, troligtvis AI-generationsdefekter.","-- / 0","","Ja","0.00 / 1","","Allt ser normalt ut på bilden förutom tassarna, där de bakre tassarna ser ut som en mishmash av olika djur/hundrasers tassar och de främre ser olika ut men skulle kunna vara både ett fall av amputering eller brist på kunskap om hundar. De främre benen och tassarna bedöms av mig som Laissez-faire. Slutsats: Bakre tassarna tyds framhäva bevis för AI-generering.","-- / 0","","För en mer rimlig inspektion ifall det är AI-bilder eller inte kan inzoomning krävas, vilket respondenter möjligen inte vet går att göra genom webbläsaren. Möjligen smart att upplysa respondenten om denna funktion (men detta är enbart då bilderna är ganska små i frågeformuläret, vilket försvårar inspektion). ","-- / 0",""
"2024/03/17 2:10:55 em EET","10.00 / 15","23","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Avvikande hand på mannen, ingen hand på kvinnan. Inga porer/tydlig hudstruktur. Hennes bortvända öga sticker ut och hennes tänder ser konstiga ut. ","-- / 0","","Ja","0.00 / 1","","Konstig tunga","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Pälsen ser konstig ut","-- / 0","","Ja","0.00 / 1","","Inga stjälkar till blommorna","-- / 0","","Ja","0.00 / 1","","Fokuset på vänstra sidan ändras väldigt skarpt.","-- / 0","","Ja","1.00 / 1","","Tycker det borde vara ljusare på himlen, det matchar inte riktigt med reflektionen. ","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Konstig vridning på naglarna på handen","-- / 0","","Ja","0.00 / 1","","Bakben ser konstiga ut","-- / 0","","","-- / 0",""
"2024/03/17 2:15:02 em EET","12.00 / 15","53","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Hennes ögon är lite olika vilket är vanligt hos riktiga människor, ljuset i håret och hårstråna ser riktigt bra ut. Hennes halsband ser ärvda ut","-- / 0","","Ja","1.00 / 1","","Bildens skimmer är lite siden-aktigt. mannens händer ser lite märkliga ut","-- / 0","","Ja","0.00 / 1","","Något känns skumt med skärpedjupet","-- / 0","","Nej","1.00 / 1","","Bilden ser ganska basic ut som att vem som helst har tagit den. Molnen ser bra ut","-- / 0","","Ja","1.00 / 1","","Något sidenaktigt skimmer och lite off färgskala","-- / 0","","Nej","1.00 / 1","","Den är väldigt full av tydliga detaljer","-- / 0","","Nej","1.00 / 1","","Det vita håret på bladen och detaljerna ser riktiga ut","-- / 0","","Ja","1.00 / 1","","Något med bildens skimmer längre bak känns lite off","-- / 0","","Nej","1.00 / 1","","Väldigt detaljerad och skarp","-- / 0","","Nej","1.00 / 1","","Skarp och killen har inte ett typiskt AI-utseende","-- / 0","","Ja","1.00 / 1","","Något med färgerna och grodans tassar som känns off","-- / 0","","Nej","1.00 / 1","","Detaljerad och en rätt tråkigt byggnad i blickfång","-- / 0","","Nej","1.00 / 1","","Hennes ansikte är inte symetriskt och detaljerna ser bra ut","-- / 0","","Nej","0.00 / 1","","Fina detaljer och fingrarnas naglar är väldigt kortklippta","-- / 0","","Ja","0.00 / 1","","det ser ut som att en tand går i genom tungan","-- / 0","","Svårt!!!","-- / 0",""
"2024/03/17 2:27:21 em EET","8.00 / 15","53","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Mannens fingrar","-- / 0","","Ja","0.00 / 1","","den är litet för perfekt","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Färgtonen påminner mig om många andra AI genererade bilder","-- / 0","","Ja","0.00 / 1","","Den här typen avbilder är Ai ofta duktiga på.","-- / 0","","Ja","0.00 / 1","","nyckelpiga ser litet märklig ut","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","fokus/konturer känns litet ""ovanliga""","-- / 0","","Ja","0.00 / 1","","känns overklig av ngn anledning","-- / 0","","Ja","1.00 / 1","","tårna ser litet märkliga ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","vänster arm ser märklig ut","-- / 0","","Ja","1.00 / 1","","fingrarna ser märkliga ut","-- / 0","","Ja","0.00 / 1","","tassarna","-- / 0","","","-- / 0",""
"2024/03/17 3:02:29 em EET","13.00 / 15","21","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Allt ser normalt ut.","-- / 0","","Ja","1.00 / 1","","Ser onaturligt ut. Kvinnans hand försvinner typ bakom muggen.","-- / 0","","Nej","1.00 / 1","","Ser inget konstigt.","-- / 0","","Nej","1.00 / 1","","Ser inget som  tyder på AI.","-- / 0","","Ja","1.00 / 1","","Ser animerad ut.","-- / 0","","Nej","1.00 / 1","","Hög kvalitet. Jag ser inget som tyder på AI.","-- / 0","","Nej","1.00 / 1","","Hög kvalitet. Jag ser inget som tyder på AI.","-- / 0","","Nej","0.00 / 1","","Reflektionerna ser korrekta ut så jag antar att den är riktig.","-- / 0","","Nej","1.00 / 1","","Inget som ser fel ut.","-- / 0","","Nej","1.00 / 1","","Hög kvalitet och en person som jag inte ser några fel som skulle tyda på AI.","-- / 0","","Ja","1.00 / 1","","Ser lite animerad ut men kan också bara vara en konstig groda.","-- / 0","","Ja","0.00 / 1","","Hårda linjerna mellan snön och de mörka träden på vänster sida ser onaturliga ut.","-- / 0","","Nej","1.00 / 1","","Hög kvalitet och jag ser inga misstag som skulle tyda på AI.","-- / 0","","Ja","1.00 / 1","","Handen ser animerad ut.","-- / 0","","Nej","1.00 / 1","","Hög kvalitet och ser inga misstag som skulle tyda på AI.","-- / 0","","","-- / 0",""
"2024/03/17 3:05:02 em EET","15.00 / 15","21","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","deras hår är typ suddigt och rynkorna i mannens ansikte är hella weird","-- / 0","","Nej","1.00 / 1","","fluffet är crisp clear. reflektionerna tror jag makar sense?","-- / 0","","Nej","1.00 / 1","","bilden har inget speciellt motiv, vilket den inte behöver ha för att vara AI genererad, men det känns vanligare att det är något i fokus i AI genererade bilder.","-- / 0","","Ja","1.00 / 1","","suddigt hår, väldigt ren katt.","-- / 0","","Nej","1.00 / 1","","många detaljer som jag tycker stämmer","-- / 0","","Nej","1.00 / 1","","saker som små smuts detaljer på insekten, typ ett vitt steck över det svarta huvet (top left), eller små partiklar","-- / 0","","Ja","1.00 / 1","","känns mörkare än vad den borde, men det kanske bara är nån kamera effekt?","-- / 0","","Nej","1.00 / 1","","många detaljer, samt lite smuts runt näbben som jag inte tror en AI hade haft med.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","hade nog varit enklare att veta om det var ett hårigt djur, men jag tror den är ai för den ser lite utklippt ut. och mossan o stenen är typ för ren","-- / 0","","Nej","1.00 / 1","","känns som snön har för många fotspår osv för att vara ai genererad.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","ser ut som typ disney film :)","-- / 0","","Nej","1.00 / 1","","håret känns realistiskt","-- / 0","","","-- / 0",""
"2024/03/17 3:07:16 em EET","13.00 / 15","21","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","mestadels håret då den inte ser vattnig ut. ansiktet har realistisk textur till sig och ljuset är naturligt","-- / 0","","Ja","1.00 / 1","","har en air brushed look till sig.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","små detaljer är consistent","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","blommornas placering makear sense","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
